[2020-01-26 00:04:54.744]  DEBUG org.mybatis.spring.mapper.ClassPathMapperScanner debug  49 - Enabling autowire by type for MapperFactoryBean with name 'houseTagMapper'.
[2020-01-26 00:04:54.744]  DEBUG org.mybatis.spring.mapper.ClassPathMapperScanner debug  49 - Creating MapperFactoryBean with name 'roleMapper' and 'com.cpf.xunwu.mapper.RoleMapper' mapperInterface
[2020-01-26 00:04:54.744]  DEBUG org.mybatis.spring.mapper.ClassPathMapperScanner debug  49 - Enabling autowire by type for MapperFactoryBean with name 'roleMapper'.
[2020-01-26 00:04:54.745]  DEBUG org.mybatis.spring.mapper.ClassPathMapperScanner debug  49 - Creating MapperFactoryBean with name 'subwayMapper' and 'com.cpf.xunwu.mapper.SubwayMapper' mapperInterface
[2020-01-26 00:04:54.745]  DEBUG org.mybatis.spring.mapper.ClassPathMapperScanner debug  49 - Enabling autowire by type for MapperFactoryBean with name 'subwayMapper'.
[2020-01-26 00:04:54.745]  DEBUG org.mybatis.spring.mapper.ClassPathMapperScanner debug  49 - Creating MapperFactoryBean with name 'subwayStationMapper' and 'com.cpf.xunwu.mapper.SubwayStationMapper' mapperInterface
[2020-01-26 00:04:54.745]  DEBUG org.mybatis.spring.mapper.ClassPathMapperScanner debug  49 - Enabling autowire by type for MapperFactoryBean with name 'subwayStationMapper'.
[2020-01-26 00:04:54.745]  DEBUG org.mybatis.spring.mapper.ClassPathMapperScanner debug  49 - Creating MapperFactoryBean with name 'supportAddressMapper' and 'com.cpf.xunwu.mapper.SupportAddressMapper' mapperInterface
[2020-01-26 00:04:54.746]  DEBUG org.mybatis.spring.mapper.ClassPathMapperScanner debug  49 - Enabling autowire by type for MapperFactoryBean with name 'supportAddressMapper'.
[2020-01-26 00:04:54.746]  DEBUG org.mybatis.spring.mapper.ClassPathMapperScanner debug  49 - Creating MapperFactoryBean with name 'userMapper' and 'com.cpf.xunwu.mapper.UserMapper' mapperInterface
[2020-01-26 00:04:54.746]  DEBUG org.mybatis.spring.mapper.ClassPathMapperScanner debug  49 - Enabling autowire by type for MapperFactoryBean with name 'userMapper'.
[2020-01-26 00:05:08.735]  DEBUG org.mybatis.spring.SqlSessionUtils debug  49 - Creating a new SqlSession
[2020-01-26 00:05:08.748]  DEBUG org.mybatis.spring.SqlSessionUtils debug  49 - SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@170b9156] was not registered for synchronization because synchronization is not active
[2020-01-26 00:05:09.426]  DEBUG org.mybatis.spring.transaction.SpringManagedTransaction debug  49 - JDBC Connection [HikariProxyConnection@1332074263 wrapping com.mysql.cj.jdbc.ConnectionImpl@5d1b6be2] will not be managed by Spring
[2020-01-26 00:05:09.532]  DEBUG org.mybatis.spring.SqlSessionUtils debug  49 - Closing non transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@170b9156]
[2020-01-26 00:05:09.544]  DEBUG org.mybatis.spring.SqlSessionUtils debug  49 - Creating a new SqlSession
[2020-01-26 00:05:09.545]  DEBUG org.mybatis.spring.SqlSessionUtils debug  49 - SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@7aa989f7] was not registered for synchronization because synchronization is not active
